Round: 0
Turn num: 0   Lines cleared: 0
Turn num: 19700000   Lines cleared: 7879999
Turn num: 19800000   Lines cleared: 7919994
Turn num: 19900000   Lines cleared: 7959998
Turn num: 20000000   Lines cleared: 7999996
Turn num: 20100000   Lines cleared: 8039999
Turn num: 20200000   Lines cleared: 8079999
Turn num: 20300000   Lines cleared: 8119997
Turn num: 20400000   Lines cleared: 8159999
Turn num: 20500000   Lines cleared: 8199998
Turn num: 20600000   Lines cleared: 8239997
Turn num: 20700000   Lines cleared: 8279998
Turn num: 20800000   Lines cleared: 8319998
Turn num: 20900000   Lines cleared: 8359996
Turn num: 21000000   Lines cleared: 8399999
Turn num: 21100000   Lines cleared: 8439998
Turn num: 21200000   Lines cleared: 8479998
Turn num: 21300000   Lines cleared: 8519998
Turn num: 21400000   Lines cleared: 8559998
Turn num: 21500000   Lines cleared: 8599999
Turn num: 21600000   Lines cleared: 8639999
Turn num: 21700000   Lines cleared: 8679998
Turn num: 21800000   Lines cleared: 8719996
Turn num: 21900000   Lines cleared: 8759997
Turn num: 22000000   Lines cleared: 8799997
Turn num: 22100000   Lines cleared: 8839999
Turn num: 22200000   Lines cleared: 8879999
Turn num: 22300000   Lines cleared: 8919999
Turn num: 22400000   Lines cleared: 8959998
Turn num: 22500000   Lines cleared: 8999999
Turn num: 22600000   Lines cleared: 9039998
Turn num: 22700000   Lines cleared: 9079998
Turn num: 22800000   Lines cleared: 9119998
Turn num: 22900000   Lines cleared: 9159998
Turn num: 23000000   Lines cleared: 9199998
Turn num: 23100000   Lines cleared: 9239999
Turn num: 23200000   Lines cleared: 9279998
Turn num: 23300000   Lines cleared: 9319998
Turn num: 23400000   Lines cleared: 9359999
Turn num: 23500000   Lines cleared: 9399999
Turn num: 23600000   Lines cleared: 9439999
Turn num: 23700000   Lines cleared: 9479997
Turn num: 23800000   Lines cleared: 9519997
Turn num: 23900000   Lines cleared: 9559998
Turn num: 24000000   Lines cleared: 9599999
Turn num: 24100000   Lines cleared: 9639997
Turn num: 24200000   Lines cleared: 9679999
Turn num: 24300000   Lines cleared: 9719999
Turn num: 24400000   Lines cleared: 9759998
Turn num: 24500000   Lines cleared: 9799994
Turn num: 24600000   Lines cleared: 9839998
Turn num: 24700000   Lines cleared: 9879999
Turn num: 24800000   Lines cleared: 9919999
Turn num: 24900000   Lines cleared: 9959999
Turn num: 25000000   Lines cleared: 9999998
Turn num: 25100000   Lines cleared: 10039999
Turn num: 25200000   Lines cleared: 10079998
Turn num: 25300000   Lines cleared: 10119999
Turn num: 25400000   Lines cleared: 10159998
Turn num: 25500000   Lines cleared: 10199998
Turn num: 25600000   Lines cleared: 10239998
Turn num: 25700000   Lines cleared: 10279998
Turn num: 25800000   Lines cleared: 10319998
Turn num: 25900000   Lines cleared: 10359996
Turn num: 26000000   Lines cleared: 10399999
Turn num: 26100000   Lines cleared: 10439998
Turn num: 26200000   Lines cleared: 10479999
Turn num: 26300000   Lines cleared: 10519998
Turn num: 26400000   Lines cleared: 10559999
Turn num: 26500000   Lines cleared: 10599998
Turn num: 26600000   Lines cleared: 10639998
Turn num: 26700000   Lines cleared: 10679998
Turn num: 26800000   Lines cleared: 10719997
Turn num: 26900000   Lines cleared: 10759997
Turn num: 27000000   Lines cleared: 10799999
Turn num: 27100000   Lines cleared: 10839998
Turn num: 27200000   Lines cleared: 10879998
Turn num: 27300000   Lines cleared: 10919996
Turn num: 27400000   Lines cleared: 10959999
Turn num: 27500000   Lines cleared: 10999999
Turn num: 27600000   Lines cleared: 11039998
Turn num: 27700000   Lines cleared: 11079999
Turn num: 27800000   Lines cleared: 11119999
Turn num: 27900000   Lines cleared: 11159999
Turn num: 28000000   Lines cleared: 11199998
Turn num: 28100000   Lines cleared: 11239996
Turn num: 28200000   Lines cleared: 11279999
Turn num: 28300000   Lines cleared: 11319998
Turn num: 28400000   Lines cleared: 11359997
Turn num: 28500000   Lines cleared: 11399999
Turn num: 28600000   Lines cleared: 11439998
Turn num: 28700000   Lines cleared: 11479999
Turn num: 28800000   Lines cleared: 11519997
Turn num: 28900000   Lines cleared: 11559999
Turn num: 29000000   Lines cleared: 11599997
Turn num: 29100000   Lines cleared: 11639999
Turn num: 29200000   Lines cleared: 11679998
Turn num: 29300000   Lines cleared: 11719999
Turn num: 29400000   Lines cleared: 11759998
Turn num: 29500000   Lines cleared: 11799996
Turn num: 29600000   Lines cleared: 11839998
Turn num: 29700000   Lines cleared: 11879997
Turn num: 29800000   Lines cleared: 11919998
Turn num: 29900000   Lines cleared: 11959997
Turn num: 30000000   Lines cleared: 11999999
Turn num: 30100000   Lines cleared: 12039998
Turn num: 30200000   Lines cleared: 12079997
Turn num: 30300000   Lines cleared: 12119996
Turn num: 30400000   Lines cleared: 12159999
Turn num: 30500000   Lines cleared: 12199998
Turn num: 30600000   Lines cleared: 12239999
Turn num: 30700000   Lines cleared: 12279998
Turn num: 30800000   Lines cleared: 12319996
Turn num: 30900000   Lines cleared: 12359999
Turn num: 31000000   Lines cleared: 12399998
Turn num: 31100000   Lines cleared: 12439998
Turn num: 31200000   Lines cleared: 12479999
Turn num: 31300000   Lines cleared: 12519997
Turn num: 31400000   Lines cleared: 12559998
Turn num: 31500000   Lines cleared: 12599998
